Player,Team,Stat,Role,Best Attribute,Actual Result
1,1,1,0,0,1
2,1,1,1,1,1
3,1,0,2,0,1
4,1,0,3,2,1
5,2,1,0,0,0
6,2,0,3,1,0
7,2,1,5,0,0
8,2,0,1,1,0
9,3,0,0,0,1
10,3,0,5,2,1
11,3,1,1,1,1
12,3,0,3,2,1
13,4,1,0,0,0
14,4,0,3,0,0
15,4,0,5,2,0
16,4,0,1,1,0
17,5,0,3,1,0
18,5,1,1,1,0
19,5,1,2,0,0
20,5,1,0,0,0
21,6,0,0,0,1
22,6,1,1,1,1
23,6,1,2,0,1
24,6,1,5,2,1
25,7,0,1,1,1
26,7,0,3,1,1
27,7,0,0,0,1
28,7,1,2,0,1
29,8,0,1,1,0
30,8,1,2,0,0
31,8,0,3,2,0
32,8,1,5,0,0
33,9,0,0,0,1
34,9,0,2,0,1
35,9,0,1,1,1
36,9,1,5,2,1
37,10,0,1,1,0
38,10,1,3,2,0
39,10,1,0,0,0
40,10,1,5,2,0
41,11,0,0,0,1
42,11,1,2,0,1
43,11,0,3,1,1
44,11,0,5,0,1
45,12,1,0,0,0
46,12,1,2,0,0
47,12,0,3,1,0
48,12,0,5,2,0
49,13,1,1,1,1
50,13,1,5,1,1
51,13,0,3,2,1
52,13,0,2,0,1
53,14,1,0,0,0
54,14,1,1,1,0
55,14,0,3,1,0
56,14,0,5,2,0
57,15,1,2,0,1
58,15,0,3,2,1
59,15,1,0,0,1
60,15,0,1,1,1
61,16,1,5,0,0
62,16,0,3,1,0
63,16,1,0,0,0
64,16,0,2,0,0
65,17,1,0,0,1
66,17,0,1,1,1
67,17,1,3,2,1
68,17,0,3,1,1
69,18,1,1,1,0
70,18,0,3,1,0
71,18,1,5,0,0
72,18,1,2,0,0
73,19,0,0,0,1
74,19,0,2,0,1
75,19,1,1,1,1
76,19,0,3,1,1
77,20,0,2,0,0
78,20,0,0,0,0
79,20,0,5,2,0
80,20,0,3,2,0
81,21,1,0,0,1
82,21,1,5,1,1
83,21,0,1,1,1
84,21,0,3,2,1
85,22,0,2,0,0
86,22,0,3,2,0
87,22,0,0,0,0
88,22,1,5,2,0
89,23,0,0,0,0
90,23,0,2,0,0
91,23,1,5,0,0
92,23,0,1,1,0
93,24,1,5,0,1
94,24,1,3,2,1
95,24,0,0,0,1
96,24,1,2,0,1
97,25,1,3,2,0
98,25,1,0,0,0
99,25,0,1,1,0
100,25,1,3,2,0
101,26,1,1,1,1
102,26,0,3,2,1
103,26,1,0,0,1
104,26,1,2,0,1
105,27,1,5,2,1
106,27,1,3,2,1
107,27,0,0,0,1
108,27,1,1,1,1
109,28,1,0,0,0
110,28,1,1,1,0
111,28,1,3,2,0
112,28,0,2,0,0
113,29,1,0,0,1
114,29,0,5,0,1
115,29,0,2,0,1
116,29,0,3,1,1
117,30,1,5,0,0
118,30,0,2,0,0
119,30,0,3,1,0
120,30,1,1,1,0
121,31,0,0,0,1
122,31,0,3,2,1
123,31,0,2,0,1
124,31,0,1,1,1
125,32,0,0,0,0
126,32,0,5,2,0
127,32,1,2,0,0
128,32,1,1,1,0
129,33,1,5,2,1
130,33,0,3,1,1
131,33,0,2,0,1
132,33,0,3,2,1
133,34,0,3,1,0
134,34,0,5,2,0
135,34,0,0,0,0
136,34,0,1,1,0
137,35,0,0,0,0
138,35,1,5,0,0
139,35,1,2,0,0
140,35,0,3,1,0
141,36,0,3,1,1
142,36,0,5,2,1
143,36,0,0,0,1
144,36,0,2,0,1
145,37,1,0,0,0
146,37,1,2,0,0
147,37,0,5,2,0
148,37,0,3,1,0
149,38,0,3,1,1
150,38,0,5,0,1
151,38,0,0,0,1
152,38,0,2,0,1
153,39,1,0,0,1
154,39,0,3,1,1
155,39,0,5,2,1
156,39,1,2,0,1
157,40,1,0,0,0
158,40,0,3,2,0
159,40,1,2,0,0
160,40,0,1,1,0
161,41,1,0,0,1
162,41,0,3,2,1
163,41,0,1,1,1
164,41,1,2,0,1
165,42,0,5,0,0
166,42,0,3,2,0
167,42,1,0,0,0
168,42,0,1,1,0
169,43,0,0,0,1
170,43,0,1,1,1
171,43,1,2,0,1
172,43,0,3,1,1
173,44,0,3,2,0
174,44,0,2,0,0
175,44,1,0,0,0
176,44,0,1,1,0
177,45,1,5,1,1
178,45,0,3,2,1
179,45,1,2,0,1
180,45,1,0,0,1
181,46,1,0,0,0
182,46,1,1,1,0
183,46,1,5,0,0
184,46,0,2,0,0
185,47,1,5,2,1
186,47,0,1,1,1
187,47,0,3,1,1
188,47,1,2,0,1
189,48,0,5,2,0
190,48,0,1,1,0
191,48,0,3,2,0
192,48,1,0,0,0
193,49,1,0,0,1
194,49,0,3,2,1
195,49,0,2,0,1
196,49,1,1,1,1
197,50,1,5,0,0
198,50,0,3,2,0
199,50,1,0,0,0
200,50,0,1,1,0
201,51,0,2,0,1
202,51,0,5,2,1
203,51,0,1,1,1
204,51,0,3,1,1
205,52,1,5,0,0
206,52,1,1,1,0
207,52,0,3,2,0
208,52,0,2,0,0
209,53,1,0,0,1
210,53,1,3,2,1
211,53,0,1,1,1
212,53,0,2,0,1
213,54,1,0,0,0
214,54,0,3,1,0
215,54,1,5,0,0
216,54,1,2,0,0
217,55,1,0,0,0
218,55,0,2,0,0
219,55,0,3,1,0
220,55,0,5,2,0
221,56,0,5,2,1
222,56,0,0,0,1
223,56,0,1,1,1
224,56,0,2,0,1
225,57,1,3,2,0
226,57,1,1,1,0
227,57,1,0,0,0
228,57,0,2,0,0
229,58,0,1,1,1
230,58,0,5,0,1
231,58,0,3,1,1
232,58,0,2,0,1
233,59,0,0,0,0
234,59,0,2,0,0
235,59,0,5,0,0
236,59,0,1,1,0
237,60,0,2,0,1
238,60,0,1,1,1
239,60,1,5,0,1
240,60,1,3,2,1
241,61,1,0,0,1
242,61,0,5,2,1
243,61,0,2,0,1
244,61,1,3,2,1
245,62,1,2,0,0
246,62,0,1,1,0
247,62,0,0,0,0
248,62,0,5,2,0
249,63,1,0,0,1
250,63,0,3,2,1
251,63,0,2,0,1
252,63,0,1,1,1
253,64,0,3,1,0
254,64,0,5,0,0
255,64,1,5,0,0
256,64,0,2,0,0
257,65,0,0,0,1
258,65,0,3,2,1
259,65,1,3,2,1
260,65,0,2,0,1
261,66,0,3,2,0
262,66,0,1,1,0
263,66,1,5,0,0
264,66,0,2,0,0
265,67,1,0,0,0
266,67,0,5,2,0
267,67,0,2,0,0
268,67,0,3,2,0
269,68,0,2,0,1
270,68,0,5,0,1
271,68,1,5,0,1
272,68,0,3,2,1
273,69,0,3,1,0
274,69,1,1,1,0
275,69,0,2,0,0
276,69,1,0,0,0
277,70,1,0,0,1
278,70,1,2,0,1
279,70,0,3,2,1
280,70,0,1,1,1
281,71,0,2,0,1
282,71,1,1,1,1
283,71,1,3,2,1
284,71,0,0,0,1
285,72,1,3,2,0
286,72,0,2,0,0
287,72,0,0,0,0
288,72,0,3,1,0
289,73,0,0,0,1
290,73,1,3,2,1
291,73,0,2,0,1
292,73,0,5,0,1
293,74,1,5,0,0
294,74,0,3,1,0
295,74,1,0,0,0
296,74,0,1,1,0
297,75,1,0,0,0
298,75,0,2,0,0
299,75,1,5,2,0
300,75,0,3,2,0
301,76,1,5,0,1
302,76,1,0,0,1
303,76,0,3,1,1
304,76,0,2,0,1
305,77,1,0,0,1
306,77,0,3,2,1
307,77,0,2,0,1
308,77,0,1,1,1
309,78,0,5,2,0
310,78,1,2,0,0
311,78,1,0,0,0
312,78,0,1,1,0
313,79,1,0,0,0
314,79,0,3,2,0
315,79,1,5,0,0
316,79,0,2,0,0
317,80,0,2,0,1
318,80,0,1,1,1
319,80,0,0,0,1
320,80,1,5,2,1
321,81,1,3,2,1
322,81,1,1,1,1
323,81,0,2,0,1
324,81,0,0,0,1
325,82,0,3,1,0
326,82,0,5,0,0
327,82,1,5,0,0
328,82,0,2,0,0
329,83,0,0,0,0
330,83,1,3,2,0
331,83,0,2,0,0
332,83,1,5,0,0
333,84,0,3,1,1
334,84,0,2,0,1
335,84,1,5,0,1
336,84,1,1,1,1
337,85,1,1,1,1
338,85,0,3,1,1
339,85,1,3,2,1
340,85,1,0,0,1
341,86,0,1,1,0
342,86,1,2,0,0
343,86,1,5,0,0
344,86,0,3,2,0
345,87,1,0,0,0
346,87,0,3,0,0
347,87,1,3,2,0
348,87,0,2,0,0
349,88,0,5,2,1
350,88,0,1,1,1
351,88,0,0,0,1
352,88,0,2,0,1
353,89,1,2,0,0
354,89,0,3,1,0
355,89,1,0,0,0
356,89,0,5,0,0
357,90,1,2,0,1
358,90,0,3,1,1
359,90,0,0,0,1
360,90,0,5,2,1
361,91,0,0,0,0
362,91,0,3,1,0
363,91,0,5,2,0
364,91,0,2,0,0
365,92,1,5,0,1
366,92,0,3,1,1
367,92,0,2,0,1
368,92,0,1,1,1
369,93,1,0,0,1
370,93,0,2,0,1
371,93,1,3,2,1
372,93,0,1,1,1
373,94,1,2,0,0
374,94,0,3,1,0
375,94,1,0,0,0
376,94,0,1,1,0
377,95,0,5,0,0
378,95,0,3,1,0
379,95,1,0,0,0
380,95,0,1,1,0
381,96,0,1,1,1
382,96,1,2,0,1
383,96,1,5,0,1
384,96,1,3,2,1
385,97,0,0,0,1
386,97,0,3,1,1
387,97,1,5,2,1
388,97,0,2,0,1
389,98,1,2,0,0
390,98,0,3,0,0
391,98,0,0,0,0
392,98,0,5,0,0
393,99,0,3,1,0
394,99,1,2,0,0
395,99,0,1,1,0
396,99,1,0,0,0
397,100,1,0,0,1
398,100,1,3,2,1
399,100,0,0,0,1
400,100,1,5,2,1
401,101,0,3,2,1
402,101,1,0,0,1
403,101,0,2,0,1
404,101,0,1,1,1
405,102,0,1,1,0
406,102,0,5,0,0
407,102,1,5,0,0
408,102,0,3,1,0
409,103,1,0,0,0
410,103,1,3,2,0
411,103,1,2,0,0
412,103,1,5,2,0
413,104,0,2,0,1
414,104,0,3,2,1
415,104,1,0,0,1
416,104,0,5,2,1
417,105,1,5,0,1
418,105,0,3,2,1
419,105,0,2,0,1
420,105,1,1,1,1
421,106,0,5,0,0
422,106,0,3,1,0
423,106,1,0,0,0
424,106,0,2,0,0
425,107,0,1,1,1
426,107,0,3,1,1
427,107,0,2,0,1
428,107,0,0,0,1
429,108,1,1,1,0
430,108,1,5,0,0
431,108,0,2,0,0
432,108,1,3,2,0
433,109,0,0,0,1
434,109,0,1,1,1
435,109,0,3,1,1
436,109,0,2,0,1
437,110,0,3,2,0
438,110,0,5,0,0
439,110,1,0,0,0
440,110,0,1,1,0
441,111,0,0,0,1
442,111,1,2,0,1
443,111,0,3,2,1
444,111,1,3,2,1
445,112,0,5,0,0
446,112,0,2,0,0
447,112,0,0,0,0
448,112,0,1,1,0
449,113,0,2,0,1
450,113,0,3,1,1
451,113,0,1,1,1
452,113,0,0,0,1
453,114,0,3,2,0
454,114,0,1,1,0
455,114,0,0,0,0
456,114,0,5,0,0
457,115,0,3,1,0
458,115,0,5,0,0
459,115,1,0,0,0
460,115,1,2,0,0
461,116,1,2,0,1
462,116,0,3,1,1
463,116,0,0,0,1
464,116,0,5,2,1
465,117,1,0,0,1
466,117,1,1,1,1
467,117,0,2,0,1
468,117,1,3,2,1
469,118,0,2,0,0
470,118,1,3,2,0
471,118,1,0,0,0
472,118,1,1,1,0
473,119,0,1,1,0
474,119,1,2,0,0
475,119,0,5,2,0
476,119,0,3,1,0
477,120,1,0,0,1
478,120,0,5,2,1
479,120,1,2,0,1
480,120,0,1,1,1
481,121,1,0,0,1
482,121,1,3,2,1
483,121,0,2,0,1
484,121,0,3,1,1
485,122,0,3,1,0
486,122,1,2,0,0
487,122,1,5,0,0
488,122,0,1,1,0
489,123,0,1,1,1
490,123,0,2,0,1
491,123,0,0,0,1
492,123,0,5,2,1
493,124,0,1,1,0
494,124,0,2,0,0
495,124,1,5,0,0
496,124,0,3,0,0
497,125,0,3,1,0
498,125,0,2,0,0
499,125,0,5,2,0
500,125,1,0,0,0
501,126,1,1,1,1
502,126,0,2,0,1
503,126,0,5,0,1
504,126,1,5,0,1
505,127,1,0,0,0
506,127,0,3,2,0
507,127,0,2,0,0
508,127,0,5,0,0
509,128,0,2,0,1
510,128,0,1,1,1
511,128,0,0,0,1
512,128,0,3,2,1
513,129,0,2,0,0
514,129,1,3,2,0
515,129,0,1,1,0
516,129,1,0,0,0
517,130,0,3,1,1
518,130,0,1,1,1
519,130,1,5,0,1
520,130,0,2,0,1
521,131,1,0,0,0
522,131,0,3,1,0
523,131,0,2,0,0
524,131,1,5,1,0
525,132,1,1,1,1
526,132,1,3,2,1
527,132,0,0,0,1
528,132,0,5,0,1
529,133,0,0,0,1
530,133,0,5,2,1
531,133,0,2,0,1
532,133,1,3,2,1
533,134,1,2,0,0
534,134,1,1,1,0
535,134,1,5,0,0
536,134,0,3,1,0
537,135,1,0,0,0
538,135,0,1,1,0
539,135,1,2,0,0
540,135,0,3,1,0
541,136,1,0,0,1
542,136,1,1,1,1
543,136,0,5,2,1
544,136,1,3,2,1
545,137,0,0,0,0
546,137,1,5,2,0
547,137,1,2,0,0
548,137,0,3,1,0
549,138,1,2,0,1
550,138,1,1,1,1
551,138,0,0,0,1
552,138,0,5,2,1
553,139,0,2,0,1
554,139,0,3,1,1
555,139,0,1,1,1
556,139,1,0,0,1
557,140,0,2,0,0
558,140,1,1,1,0
559,140,1,0,0,0
560,140,0,3,1,0
561,141,1,0,0,0
562,141,0,5,2,0
563,141,0,3,2,0
564,141,0,1,1,0
565,142,0,5,2,1
566,142,0,3,1,1
567,142,1,0,0,1
568,142,1,1,1,1
569,143,1,0,0,1
570,143,0,5,2,1
571,143,0,3,1,1
572,143,0,1,1,1
573,144,0,2,0,0
574,144,0,1,1,0
575,144,1,5,0,0
576,144,0,3,1,0
577,145,1,5,2,0
578,145,1,0,0,0
579,145,0,2,0,0
580,145,1,1,1,0
581,146,0,1,1,1
582,146,1,0,0,1
583,146,1,3,2,1
584,146,0,2,0,1
585,147,1,0,0,0
586,147,0,3,0,0
587,147,1,2,0,0
588,147,1,5,2,0
589,148,0,2,0,1
590,148,0,0,0,1
591,148,1,5,1,1
592,148,0,1,1,1
593,149,1,0,0,0
594,149,1,1,1,0
595,149,0,3,2,0
596,149,0,2,0,0
597,150,0,1,1,1
598,150,1,2,0,1
599,150,0,0,0,1
600,150,0,5,2,1
601,151,0,5,2,0
602,151,0,3,1,0
603,151,1,0,0,0
604,151,0,1,1,0
605,152,0,5,0,1
606,152,0,1,1,1
607,152,1,5,0,1
608,152,1,2,0,1
609,153,0,1,1,1
610,153,1,5,2,1
611,153,0,2,0,1
612,153,0,3,0,1
613,154,1,1,1,0
614,154,0,0,0,0
615,154,0,2,0,0
616,154,1,5,2,0
617,155,1,0,0,0
618,155,0,3,1,0
619,155,1,5,2,0
620,155,1,2,0,0
621,156,1,1,1,1
622,156,0,5,0,1
623,156,1,0,0,1
624,156,1,2,0,1
625,157,1,0,0,0
626,157,0,1,1,0
627,157,1,3,2,0
628,157,0,2,0,0
629,158,0,0,0,1
630,158,0,1,1,1
631,158,1,3,2,1
632,158,0,2,0,1
633,159,1,0,0,0
634,159,0,1,1,0
635,159,1,5,0,0
636,159,0,3,2,0
637,160,1,5,2,1
638,160,0,1,1,1
639,160,0,0,0,1
640,160,0,3,2,1
641,161,1,5,1,0
642,161,1,2,0,0
643,161,1,3,2,0
644,161,1,0,0,0
645,162,0,2,0,1
646,162,0,3,0,1
647,162,1,5,0,1
648,162,0,1,1,1
649,163,1,0,0,0
650,163,1,2,0,0
651,163,0,1,1,0
652,163,1,5,2,0
653,164,1,2,0,1
654,164,0,3,2,1
655,164,0,0,0,1
656,164,1,1,1,1
657,165,1,1,1,0
658,165,1,2,0,0
659,165,0,3,1,0
660,165,1,0,0,0
661,166,0,0,0,1
662,166,0,2,0,1
663,166,0,3,0,1
664,166,1,3,2,1
665,167,0,3,2,1
666,167,1,0,0,1
667,167,1,3,2,1
668,167,0,1,1,1
669,168,1,2,0,0
670,168,0,1,1,0
671,168,1,5,0,0
672,168,1,3,2,0
673,169,0,2,0,1
674,169,1,3,2,1
675,169,0,0,0,1
676,169,0,1,1,1
677,170,0,0,0,0
678,170,1,2,0,0
679,170,1,5,2,0
680,170,0,3,0,0
681,171,0,0,0,1
682,171,0,5,2,1
683,171,0,2,0,1
684,171,0,3,1,1
685,172,1,0,0,0
686,172,0,5,0,0
687,172,0,3,1,0
688,172,0,1,1,0
689,173,0,5,2,1
690,173,1,3,2,1
691,173,0,2,0,1
692,173,1,1,1,1
693,174,1,1,1,0
694,174,0,2,0,0
695,174,1,5,0,0
696,174,0,3,1,0
697,175,0,5,2,0
698,175,1,2,0,0
699,175,1,0,0,0
700,175,0,3,2,0
701,176,0,2,0,1
702,176,0,3,1,1
703,176,1,1,1,1
704,176,0,0,0,1
705,177,1,0,0,0
706,177,1,5,2,0
707,177,0,3,1,0
708,177,0,2,0,0
709,178,0,2,0,1
710,178,0,3,2,1
711,178,1,5,0,1
712,178,0,1,1,1
713,179,1,2,0,0
714,179,0,3,1,0
715,179,0,5,0,0
716,179,1,1,1,0
717,180,1,2,0,1
718,180,1,1,1,1
719,180,1,5,0,1
720,180,0,3,1,1
721,181,1,0,0,1
722,181,0,3,1,1
723,181,0,5,2,1
724,181,0,1,1,1
725,182,0,1,1,0
726,182,1,5,1,0
727,182,0,0,0,0
728,182,0,3,1,0
729,183,0,3,0,1
730,183,1,2,0,1
731,183,0,1,1,1
732,183,1,3,2,1
733,184,1,5,0,0
734,184,0,3,1,0
735,184,1,0,0,0
736,184,0,2,0,0
737,185,0,1,1,1
738,185,0,5,0,1
739,185,1,2,0,1
740,185,0,3,2,1
741,186,0,1,1,0
742,186,1,0,0,0
743,186,0,5,2,0
744,186,1,2,0,0
745,187,1,0,0,1
746,187,1,2,0,1
747,187,0,3,1,1
748,187,0,1,1,1
749,188,0,3,2,0
750,188,0,5,2,0
751,188,0,0,0,0
752,188,0,2,0,0
753,189,0,1,1,1
754,189,1,0,0,1
755,189,0,3,1,1
756,189,0,5,2,1
757,190,1,2,0,0
758,190,0,1,1,0
759,190,1,0,0,0
760,190,0,5,0,0
761,191,1,5,0,1
762,191,1,0,0,1
763,191,0,3,2,1
764,191,1,1,1,1
765,192,0,3,1,0
766,192,0,1,1,0
767,192,1,0,0,0
768,192,1,2,0,0
769,193,1,1,1,1
770,193,0,3,0,1
771,193,1,2,0,1
772,193,1,0,0,1
773,194,1,5,0,0
774,194,1,2,0,0
775,194,1,0,0,0
776,194,0,3,1,0
777,195,1,5,1,1
778,195,0,3,2,1
779,195,1,2,0,1
780,195,1,1,1,1
781,196,0,1,1,0
782,196,0,5,2,0
783,196,0,0,0,0
784,196,1,2,0,0
785,197,0,1,1,1
786,197,1,3,2,1
787,197,0,2,0,1
788,197,0,5,0,1
789,198,0,2,0,0
790,198,0,3,1,0
791,198,1,0,0,0
792,198,0,1,1,0
793,199,1,0,0,0
794,199,0,2,0,0
795,199,0,3,1,0
796,199,0,1,1,0
797,200,0,2,0,1
798,200,0,3,1,1
799,200,1,0,0,1
800,200,0,5,0,1
801,201,1,3,2,1
802,201,0,5,0,1
803,201,0,2,0,1
804,201,1,1,1,1
805,202,0,3,1,0
806,202,1,2,0,0
807,202,0,0,0,0
808,202,1,5,0,0
809,203,0,3,0,0
810,203,0,2,0,0
811,203,0,1,1,0
812,203,0,0,0,0
813,204,1,1,1,1
814,204,1,2,0,1
815,204,0,0,0,1
816,204,0,3,1,1
817,205,0,0,0,1
818,205,0,3,1,1
819,205,0,1,1,1
820,205,1,2,0,1
821,206,1,0,0,0
822,206,1,2,0,0
823,206,0,1,1,0
824,206,0,5,2,0
825,207,1,0,0,0
826,207,0,2,0,0
827,207,0,3,0,0
828,207,1,5,2,0
829,208,1,2,0,1
830,208,0,3,1,1
831,208,0,0,0,1
832,208,1,5,1,1
833,209,1,0,0,1
834,209,0,1,1,1
835,209,1,2,0,1
836,209,0,3,2,1
837,210,1,5,0,0
838,210,0,3,0,0
839,210,0,5,0,0
840,210,0,2,0,0
841,211,1,3,2,1
842,211,0,1,1,1
843,211,1,2,0,1
844,211,0,5,0,1
845,212,1,5,0,0
846,212,1,1,1,0
847,212,1,2,0,0
848,212,0,3,0,0
849,213,0,1,1,0
850,213,0,2,0,0
851,213,0,3,1,0
852,213,1,0,0,0
853,214,0,5,2,1
854,214,0,1,1,1
855,214,0,0,0,1
856,214,1,2,0,1
857,215,0,0,0,1
858,215,1,3,2,1
859,215,0,5,2,1
860,215,0,1,1,1
861,216,1,0,0,0
862,216,1,5,2,0
863,216,0,1,1,0
864,216,0,2,0,0
865,217,1,0,0,0
866,217,0,3,1,0
867,217,1,5,2,0
868,217,1,2,1,0
869,218,0,3,1,1
870,218,1,1,1,1
871,218,0,0,0,1
872,218,1,5,0,1
873,219,1,5,0,1
874,219,1,1,1,1
875,219,0,3,2,1
876,219,0,0,0,1
877,220,0,2,0,0
878,220,1,1,1,0
879,220,1,0,0,0
880,220,1,5,1,0
881,221,0,0,0,1
882,221,0,1,1,1
883,221,0,3,1,1
884,221,1,2,0,1
885,222,0,2,0,0
886,222,0,3,0,0
887,222,1,0,0,0
888,222,1,5,2,0
889,223,0,1,1,1
890,223,0,2,0,1
891,223,1,3,2,1
892,223,1,0,0,1
893,224,1,1,1,0
894,224,1,2,0,0
895,224,1,0,0,0
896,224,1,5,1,0
897,225,1,0,0,1
898,225,1,2,0,1
899,225,1,5,0,1
900,225,0,1,1,1
901,226,0,5,2,0
902,226,0,3,1,0
903,226,0,0,0,0
904,226,0,2,0,0
905,227,0,0,0,1
906,227,0,5,0,1
907,227,0,1,1,1
908,227,0,2,0,1
909,228,0,5,0,0
910,228,0,3,2,0
911,228,0,0,0,0
912,228,0,1,1,0
913,229,0,1,1,0
914,229,1,5,1,0
915,229,0,3,0,0
916,229,0,0,0,0
917,230,0,2,0,1
918,230,1,1,1,1
919,230,0,0,0,1
920,230,0,3,2,1
921,231,1,2,0,1
922,231,1,5,1,1
923,231,0,3,1,1
924,231,0,0,0,1
925,232,1,1,1,0
926,232,0,3,1,0
927,232,1,5,0,0
928,232,1,2,0,0
929,233,0,1,1,0
930,233,1,2,0,0
931,233,0,0,0,0
932,233,1,3,2,0
933,234,0,0,0,1
934,234,1,5,1,1
935,234,0,2,0,1
936,234,0,1,1,1
937,235,1,0,0,0
938,235,0,1,1,0
939,235,0,3,2,0
940,235,0,2,0,0
941,236,0,3,1,1
942,236,1,2,0,1
943,236,1,5,0,1
944,236,0,1,1,1
945,237,0,0,0,1
946,237,0,5,0,1
947,237,0,3,0,1
948,237,1,1,1,1
949,238,0,1,1,0
950,238,0,3,0,0
951,238,1,0,0,0
952,238,1,5,2,0
953,239,1,0,0,0
954,239,1,2,0,0
955,239,0,1,1,0
956,239,1,3,2,0
957,240,1,3,2,1
958,240,0,5,2,1
959,240,1,0,0,1
960,240,0,2,0,1